source_file,dataset_version,difficulty_level,difficulty_name,feature_variant,size_scene_variant,target_size_condition,distractor_count_condition,condition,video_id,category,original_prediction,swapped_prediction
/private/tmp/vlm_results_20260612_163602/results/Qwen_Qwen3-VL-8B-Instruct/ladder_v2_level_1_simple/20260612_150911/raw_results.jsonl,ladder_v2,1,level_1_simple,,,,,low_boundary,level_1_sample_001_low_boundary.mp4,both_correct,A,B
/private/tmp/vlm_results_20260612_163602/results/Qwen_Qwen3-VL-8B-Instruct/ladder_v2_level_1_simple/20260612_150911/raw_results.jsonl,ladder_v2,1,level_1_simple,,,,,temporal_boundary,level_1_sample_001_temporal_boundary.mp4,both_correct,A,B
/private/tmp/vlm_results_20260612_163602/results/Qwen_Qwen3-VL-8B-Instruct/ladder_v2_level_1_simple/20260612_150911/raw_results.jsonl,ladder_v2,1,level_1_simple,,,,,visual_boundary,level_1_sample_001_visual_boundary.mp4,both_correct,A,B
/private/tmp/vlm_results_20260612_163602/results/Qwen_Qwen3-VL-8B-Instruct/ladder_v2_level_1_simple/20260612_150911/raw_results.jsonl,ladder_v2,1,level_1_simple,,,,,audio_boundary,level_1_sample_001_audio_boundary.mp4,both_correct,A,B
/private/tmp/vlm_results_20260612_163602/results/Qwen_Qwen3-VL-8B-Instruct/ladder_v2_level_1_simple/20260612_150911/raw_results.jsonl,ladder_v2,1,level_1_simple,,,,,low_boundary,level_1_sample_002_low_boundary.mp4,both_correct,A,B
/private/tmp/vlm_results_20260612_163602/results/Qwen_Qwen3-VL-8B-Instruct/ladder_v2_level_1_simple/20260612_150911/raw_results.jsonl,ladder_v2,1,level_1_simple,,,,,temporal_boundary,level_1_sample_002_temporal_boundary.mp4,both_correct,A,B
/private/tmp/vlm_results_20260612_163602/results/Qwen_Qwen3-VL-8B-Instruct/ladder_v2_level_1_simple/20260612_150911/raw_results.jsonl,ladder_v2,1,level_1_simple,,,,,visual_boundary,level_1_sample_002_visual_boundary.mp4,original_wrong_swapped_correct,B,B
/private/tmp/vlm_results_20260612_163602/results/Qwen_Qwen3-VL-8B-Instruct/ladder_v2_level_1_simple/20260612_150911/raw_results.jsonl,ladder_v2,1,level_1_simple,,,,,audio_boundary,level_1_sample_002_audio_boundary.mp4,both_correct,A,B
/private/tmp/vlm_results_20260612_163602/results/Qwen_Qwen3-VL-8B-Instruct/ladder_v2_level_1_simple/20260612_150911/raw_results.jsonl,ladder_v2,1,level_1_simple,,,,,low_boundary,level_1_sample_003_low_boundary.mp4,both_correct,A,B
/private/tmp/vlm_results_20260612_163602/results/Qwen_Qwen3-VL-8B-Instruct/ladder_v2_level_1_simple/20260612_150911/raw_results.jsonl,ladder_v2,1,level_1_simple,,,,,temporal_boundary,level_1_sample_003_temporal_boundary.mp4,both_correct,A,B
